Q/A,QA,Category_1
question,"Well, to be honest with you, as I got about halfway through it, I wasn't clear on what I was asking either. You are now involved as assistant controller with brand management, which you said did include marketing, correct?",bin-d
answer,That is correct.,y
question,"Marketing is a broad term that encompasses several factors, one of which would be advertising, correct?",bin-d
answer,"The Brand and Marketing Department at Philip Morris USA had several responsibilities, and we provided financial support to the Brand and Marketing Department.",sno
question,"Please tell me then, so I can better understand, Mr. Simmons, what, what sort of support you provided?",wh
answer,"So, again, as the Brand and Marketing Department would develop plans consistent with their strategies for their programs, we would work with them on the accounting and reporting and the budgeting for, for their programs.",sno
question,"With respect to the budgeting for their program, did you participate in the formulation of the budgets for particular brands as opposed to just providing an accounting function?",bin
answer,"It would have encompassed both the accounting and reporting, as well as providing budgeting services.",sno
question,Let me just see if I can kind of get to the bottom line and understand this. Did you participate in developing the strategy for the marketing of particular brands for Philip Morris USA?,bin-d
answer,"No, I did not. That would have been the responsibility of the brand management.",n-d
question,So then yours would have been strictly an accounting participation?,bin
answer,That is correct.,y
question,"Your CV shows December 2007 to October 0 2008, director, John Middleton Company, correct?",bin-d
answer,That is correct.,y
question,John Middleton Company manufactures and 3 sells cigars. True?,bin-d
answer,That is correct.,y
question,"Now, up to that point in time, you had been working for Philip Morris USA, correct?",bin-d
answer,That is correct.,y
question,How was it that you came to go to John Middleton Company?,wh
answer,"As part of Altria's tobacco adjacency strategy, they acquired a cigar company in December of 2007. And there was an opportunity for a director of finance within that company, and I was offered that, that position and accepted in December of 2007.",sno
question,"So it was a matter, from what you are telling me, Mr. Simmons, of an offer and acceptance as opposed to management telling you basically to go to John Middleton Company and take over their finance matters, correct?",bin-d
answer,That is correct.,y
question,Why did you decide to accept that offer and leave Philip Morris USA to do that at John Middleton?,wh
answer,It was another developmental opportunity that I took advantage of in terms of accepting this new responsibility.,sno
question,"I assume, and please correct me if I am wrong, that being director of John Middleton Company and its finances was a step up, so to speak?",bin-d
answer,"Yes, it was.",y
question,Why did you then leave John Middleton Company in October of 2008?,wh
answer,"I was offered a position with Altria Client Services as a vice president of strategy and business development, and I accepted that position n ""i n nrtnhp1"" of",sno
question,"Now, please tell us what strategy and business development entails?",wh
answer,That is a planning function within Altria Client Services that coordinates planning meetings and then may also participate in merger and acquisition analysis.,sno
question,"Insofar as the term ""strategy"" is concerned, as used in your CV, was the strategy solely related to mergers and acquisitions?",bin-d
answer,"No, it was not.",n
question,"What else did ""strategy"" involve?",wh
answer,"The position was a planning function for senior management to have strategy and planning meetings for all intents and purposes, setting goals for the, for the current year and the next year. So I facilitated the coordination of the meetings.",sno
question,Did you attend the meetings?,bin
answer,Sometimes I did; and sometimes I did not.,sno
question,Did you have a voice in the meetings?,bin
question,Do you understand my question?,bin
answer,"No, I am not sure I am clear on did I have a voice in the meetings?",n-followup
question,"Well, you have been doing fine, and I should have at the outset told you that if you don't understand any of my questions, to let me know. It doesn't sound the way we have been getting along like I needed to tell you that. I would imagine you have heard that before in depositions, correct?",bin-d
answer,Yes.,y
question,"When I say did you have a voice in the strategy meetings, what I am basically asking is did you involve yourself insofar as stating your opinions on various matters involved in the discussions?",bin-d
answer,"When I was in the meetings and if deemed appropriate, yes, I did express my opinions.",y-d
question,"Now, with respect to these strategy meetings, which involved senior management, who 4 would the senior management be?",wh-d
answer,"It would be the senior management of Altria Group, Inc.",sno
question,"Would it involve the senior management if it differs from Altria Group, Inc. from the various operating companies?",bin
answer,It would depend on the meeting.,sno
question,What sort of factors would it depend upon?,wh
answer,"For the most part, the meetings were just for the Altria Group, Inc. executives, which in many cases did not include the individual operating company presidents.",sno
question,Under what circumstances would it include the operating company's management?,wh
answer,"Again, from a planning perspective, if there was a meeting on the calendar where the operating companies were presenting their plans to the Altria Group, Inc. leadership team, then they would be included.",sno
question,"Well, what sort of things would the operating companies be presenting their plan to the senior management of Altria Group?",wh
answer,"Well, they would present their -- their annual plan, as an example.",sno
question,"Insofar as an annual plan is concerned from one of the operating companies that they present to senior management of Altria Group, is there an approval process that is gone through for senior management of Altria Group, Inc. to approve of the plans of its operating companies?",bin-d
question,"From the standpoint of Altria Group, Inc.'s senior management, and the senior management 0 of the operating companies, did Altria, Inc. suggest modifications or revisions to the operating companies?",bin-d
question,"Well, as a practical matter, let's say that their sole shareholder didn't agree with an aspect of Philip Morris USA's annual plan. What would happen?",wh-d
question,"Well, what would happen as a practical matter if senior management for Altria Group wanted Philip Morris to do something differently than what was contained in its annual plan?",wh-d
question,"Don't you agree, sir, that there is a little bit of difference if I owned stock in Altria Group and showed up at the annual meeting and there was something I didn't like as opposed to Altria Group, which is the only shareholder that would ever show up at a meeting of Philip Morris USA?",bin-d
question,"Wouldn't you agree with me, sir, that in 3 this dialogue about which you just spoke that if 4 that dialogue comes from the owner of the company, 5 in this case Philip Morris USA, it would certainly carry a great deal of weight, would it not?",bin-d
question,I an not asking for knowledge of a specific situation. I guess I am just asking as a matter of common sense.,sno
answer,Could you restate your question?,confront
question,Would it not be that -- I'm sorry.,sno
answer,"Could you restate your question, please?",bin
question,"As a practical matter, if the dialogue comes from the owner, the single shareholder of a company, such as Altria Group, to Philip Morris USA, that dialogue from the senior management of Altria Group would certainly carry a great deal of weight with Philip Morris USA, would it not?",bin-d
question,"Does Philip Morris USA have a Board of Directors, sir?",bin
answer,"Yes, they do.",y
question,Does Altria Group have a Board of Directors?,bin
answer,"Yes, they do.",y
question,"Who appoints the Board of Directors for Philip Morris USA or elects them, I guess?",or
answer,"I am not aware of the specific process on the election of the Philip Morris USA officers, who specifically appoints them.",sno
question,"Well, as the only shareholder of Philip Morris USA, wouldn't it stand to reason that it would be Altria Group --",wh-d
question,who has control on who sits on the Board of Directors of its wholly-owned subsidiary?,wh
question,"Now, you are currently vice president of finance for Altria Client Services. What does that, 4 that function or job entail?",wh-d
answer,"I provide financial support to Philip Morris USA, and that would include accounting, management reporting, budgeting services for Philip Morris USA.",sno
question,Is it just Philip Morris USA that you provide the services for?,bin
answer,"My primary role is Philip Morris USA, but as an employee of Altria Client Services, I also have responsibilities for Altria's other tobacco operating companies.",sno
question,I am trying to think. That would include U.S. -- is it Smokeless Tobacco?,bin
answer,That is correct.,y
question,Any other tobacco companies?,qo
answer,"John Middleton Company, which is a subsidiary of Philip Morris USA.",sno
question,"Right. But that's the folks that sell cigars, right?",bin-d
answer,That is correct.,y
question,"Now, insofar as time you spend in your 0 function as vice president of finance for Altria Client Services, what is the approximate breakdown of time you spend between the three tobacco 3 companies; Philip Morris USA, John Middleton, and 4 U.S. Smokeless Tobacco?",wh-d
answer,Most of the time is spent with Philip Morris USA.,sno
question,"Can you give me an idea and we could define the term ""most"" as 51 percent. Can you give me a better approximation of what you mean by ""most""?",wh-d
answer,"I don't have an exact number. I don't maintain time cards, but better than 75 percent of my time is spent with Philip Morris USA.",dno
question,"And then after 70, 75 percent of your time is being spent with Philip Morris USA, how does it split up between John Middleton cigars and U.S. Smokeless Tobacco?",wh-d
answer,"Again, I don't have an exact number. I don't maintain time cards. What I can tell you is that more than 75 percent of the time is probably allocated to Philip Morris USA.",dno
question,"I understand you don't have exact time nor do you keep time cards. But insofar as the other two companies are concerned, John Middleton and U.S. Smokeless, I mean, you do this, this every day. You have been doing it since, it looks like, January 2010. On an average, how does that break out 4 between those two companies?",wh-d
answer,"Most of the time is spent with Philip L Morris USA, followed by UST, which would be the next largest portion, followed by John Middleton.",sno
question,"Well, we just took -- and I don't care whether we use 70 or 75 percent then. I assume by what you say that certainly second place would have over, over half of your remaining time, correct?",bin-d
answer,"Ycu can use that as a frame. Again, I don't have specific numbers, but you can use that as a frame of reference.",dno
question,"Okay. Now, as vice president of finance for Altria Client Services, who is your immediate superior or boss?",wh
answer,That would be Howard Willard.,sno
question,What is his title?,wh
answer,"He is the CFO for Altria Group, Inc.",sno
question,"Again, CFO standing for chief financial officer?",bin
answer,That is correct.,y
question,And would that make him the top person when it comes to finance for Altria Group?,bin
answer,Yes.,y
question,"He is a named executive officer, correct?",bin-d
question,"I'm sorry, what was your answer?",wh
answer,"I said yes, for Altria Group, Inc.",y-d
question,"There are five such named executive officers for Altria Group, Inc., correct?",bin-d
question,What is your definition of a named executive officer?,wh
answer,"Are you referring to the officers of Altria Group, Inc.?",bin
question,"Yes, sir.",y
answer,I'm assuming that you are referring to the officers that have been identified by the corporation as the senior-most executives in the company?,bin-d
question,"My question, sir, is what is your definition of a named executive officer?",wh
question,"Well, Mr. Simmons, I have said Altria Group, Inc. several times. I asked you if you could tell me how many named executive officers there were. And I now am asking you, sir, with respect to Altria Group, Inc., what your definition of a named executive officer is?",wh-d
answer,"To the best of my recollection those are the senior-most executives for the corporation. In this case Altria Group, Inc.",sno
question,But you are unable to tell me the number of those persons?,wh
question,"Mr. Simmons, are you one of the top executive officers for Philip Morris USA, Inc. as chief financial officer?",bin
answer,Yes.,y
question,"Are you a named executive officer for Philip Morris USA, Inc.?",bin
question,"Okay. I assume, you correct me if I am wrong, that in your capacity as chief financial officer of Philip Morris USA, that you sit in on the senior-most Executive Committee meetings, correct?",bin-d
question,"What is the name of the senior-most Executive Committee of Philip Morris USA, Inc.?",wh
answer,Philip Morris USA has a Board of Directors for which that would be the most senior body within Philip Morris USA.,sno
question,"And then underneath the Board of Directors, what would be the next-most senior level Management Committee at Philip Morris USA, Inc.?",wh
question,"So as I understand it, it is your 4 testimony that there are no committees at the senior management level of Philip Morris USA, Inc., other than the Board of Directors?",bin-d
question,"Does Philip Morris USA, Inc. currently have an organizational chart?",bin
answer,Yes.,y
question,Who at Philip Morris is responsible for maintaining that chart and for making any revisions or modifications to it as time passes?,wh
answer,"I don't know who has administration responsibilities for the org chart, but the person responsible for the organization is the president of Philip Morris USA.",dno
question,"Has, has that been true going back to the time that you first joined the company in June of 1986?",bin
question,"Well, insofar as the setup of Philip Morris USA, Inc. is concerned, would that not always be the responsibility of the person who is in charge of the company?",bin-d
answer,Yes.,y
question,"In connection with your deposition today,",sno
answer,"there was a notice of taking deposition that went out, as is customary. And in that notice it contained a schedule, Schedule A, asking you to bring certain materials with you to the deposition. I will be the first one to concede that this is a standard schedule that is sent out for an expert witness, so much of the description would probably not be germane to you. But my question is did you look at Schedule A to the notice of your deposition and, in particular, paragraphs 1 through and including 23?",confront
question,"And without going through each and every paragraph, which I think would be a waste of everyone's time, would you please tell me what you brought with you to the deposition?",wh-d
answer,"Yes. My CV, the Raffa expert report, the Altria Form 10-Q for the period ended March 31st, 2014, and the Altria Group, Inc. 10-K for the period ended December 31st, 2013 and the notice of deposition.",y-d
question,Okay.,ack
question,"All right. Let me just go over with you, Mr. Simmons, what you have just indicated that you brought with you. And you said that you had your CV. And I would ask that the court reporter to mark that as Exhibit 1 to the deposition. (Simmons Deposition Exhibit Number 1 was marked for identification.)",sno
question,"Dr. Raffa's expert report, and I would assume, and let me just he has his actual report. I am not going to take the time to count these pages, but which includes the report itself and I have as the backup to his report Altria Group's Inc.'s and all of these are Altria Group, Inc.'s Form 10-K for the period ending December 31, 2010, Form 10-K for the period ending December 31, 2011, Form 10-K for the period ending December 31, 2012; Form 10-K for the period ending 2000 -- I'm sorry, December 31, 2013; and Form 10-Q for the period ending March 31, 2014. Mr. Simmons, is that what you have identified as the Raffa expert report?",bin-d
answer,Yes.,y
question,"Is that your understanding, Mr. Simmons?",bin
answer,"Yes, that is correct.",y
question,Okay.,ack
question,"That takes care of everything you brought with you to the deposition, correct, Mr. Simmons?",bin-d
answer,"Well, we also mentioned the notice of deposition, and then the Altria 10-Q as of March 31st, 2014, and then the Altria 10-K as of December 31st, 2013.",sno
question,"Was the 10-Q as of March 31, 2014 a separate document from the excerpt from the 10-K ending March 31 of 2014 that was part of Dr. Raffa's material?",bin
answer,"Could you repeat that question, please? 4 Q. Yes, sir. I am just trying to clear up. I went through a list of Altria Group, Inc.'s reports form 10-K starting at the end of 2010 and going through the end of 2013. And I also included in Dr. Raffa's material the 10-Q ending March 31f 2014. My question is do you have something 6 different when it comes to the 10-Q and the 10-K from what was in Dr. Raffa's material?",confront
question,"Well, sir, what I am asking you really is from the second paragraph of your disclosure in this case, which says you may address PM USA's net worth/total stockholders equity in its financial statements. And I would like you to please tell me what opinions you have about that subject?",wh-d
answer,"What I can tell you is that Philip Morris USA's financial statements were prepared accurately and in accordance with generally accepted accounting principles, and that the net worth of Philip Morris USA can be found on the balance sheet for Philip Morris USA. And it is a function of the total assets of Philip Morris USA less its liabilities resulting in net worth of the company at a point in time.",sno
question,And what is that point in time?,wh
answer,"If we refer to the 10-Q as of March 31st, 2014 the total stockholders' equity or net worth found on page 48 for Philip Morris USA is 3381.",sno
question,3381 what?,nu
answer,"Well, as reported on the financial statement, it is 3381, there are no trailing zeros, and that number is in millions of dollars. 5 Q. So its net worth is 3,381 million dollars?",sno
question,So that would be 3 billion 381 million dollars; is that accurate?,bin-d
question,And that is the net worth of Philip Morris?,bin
answer,"Just to reiterate, the net worth can be found on the balance sheet. And that's at a point in time. And that's what the net worth was at March 31st, 2014.",sno
question,"Well, sir, so I can try and get a feel for this, Mr. Simmons, what can you tell us about your opinion as to what one could anticipate, all other things being equal, the net worth of Philip Morris USA to be this coming October 2014?",wh
question,"Well, I guess what I am trying to understand is based upon your experience, is there a particular time during the year at the end of a quarter, for example, when the net worth of the company can be expected to be higher or lower than at another time during the year? And I am, of course, talking about the end of the quarters.",bin-d
question,"Insofar as the quarter ending March 31st, 2014 is concerned, I don't know what, what sort of fiscal year PM USA is on. Is that the end of the first quarter?",bin-d
answer,"Yes, it is.",y
question,So they are on a calendar year basis?,bin
answer,Yes.,y
question,How much?,wh
answer,"As reported in the Altria Group, Inc. cash flow statement on page 53, that number was much? I'm sorry, I didn't quite hear. How 965. And that number is in millions. Now, was that dividend paid all at one time?",bin-d
question,"Would you please look at form 10-K for the year ending December 31, 2013 well, I guess it wouldn't be 10-K. Would you please tell me what the net worth was of Altria Group, Inc. as of the period ending December 31, 2013?",bin-d
answer,"Were you looking for Philip Morris USA at December 31st, 2013?",confront
question,"Wasn't the net worth, sir, that you just gave me -- maybe it wasn't was that for Altria Group, Inc. or was that for Philip Morris USA, Inc.?",or
answer,"All right. Now tell me, please, what the net worth of Philip Morris USA, Inc. was at year-end on December 31 in 2013?",wh
question,"So that would be 3 billion 361 million dollars net worth of Philip Morris USA as of the end of 2013, right?",bin-d
answer,That is correct.,y
question,"What was the amount of the annual dividend paid to Altria Group, Inc. by Philip Morris USA as of the end of 2013?",wh
answer,"As reported in the same Altria Group, Inc. 10-K for the period ended December 31st, 2013, on page 103, Philip Morris USA dividends paid to its parent was 4400. And that number was in millions.",sno
question,"So in dividends Philip Morris USA, Inc. paid to Altria Group, Inc. 4 billion 440 million dollars in dividends --",bin
question,"-- during the calendar year 2013, correct?",bin-d
question,"I'm sorry, 4400?",bin
answer,Yes.,y
question,"So 4 billion 400 million dollars was paid by Philip Morris USA to Altria Group, Inc. during calendar year 2013?",bin
question,Correct?,nu
question,"We had been talking about what you would 2 tell the jury when it comes to Philip Morris USA's net worth/total stockholders equity. Are those two 4 things, net worth and total stockholders' equity, the same thing?",bin-d
question,"With respect to the year ending 2012, can you tell me what the net worth of Philip Morris USA was?",wh
answer,"As reported in the Altria Group, Inc. 10-K for the period ended December 31st, 2012, the",sno
question,"So its net worth in 2012 was 3 billion 206 million dollars, correct?",bin-d
answer,That is correct.,y
question,What in dividends did Philip Morris USA pay to Altria Group during calendar year 2012?,wh
answer,"As reported in the Altria Group 10-K for the period ended December 31st, 2012, reported on the statement of cash flows, the number is 3690. 16 Q. So that would then be 3 billion million dollars paid by Philip Morris USA to Altria Group in 2012, correct?",bin-d
question,"Now, please look for the year ending December 31, 2011, and tell me what the net worth of Philip Morris USA was.",wh
answer,"If you, looking at the 10-K, the balance sheet is not included in the 10-K for 2011. It just contains 2013 and 2012.",sno
question,So are we unable then to do that with the 10-K for 2011?,bin
answer,"As it relates specifically to the 10-Kf and, again, we brought the Form 10-Q as of March 5 31stf 2014, and the Form 10-K as of March 31st, and the financial information included in the 10-K gees back for the balance sheet 2013 and 2012.",sno
question,"All right. So insofar as you would tell the jury, if your presentation were being made to the jury at present would be with respect to the end of the first quarter 2014 and you could address Philip Morris USA's net worth and dividends paid to Altria Group for the calendar years 2013 and 2012, correct?",bin-d
question,"Okay. I just want to make sure that you have now told me everything you would tell this jury, albeit there may be different numbers involved 4 in October of this year when it comes to Philip Morris USA's net worth, total stockholders' equity. Correct?",bin-d
question,"Well, sir, I am just going by what was disclosed to the plaintiff in this case that you would talk to the jury about. And I haven't yet gotten to Dr. Raffa's report and your observations about that. But insofar as what you would say about Philip Morris USA's net worth and total stockholders' equity, have you now discussed the subject matter that you would discuss with the jury?",bin-d
answer,"Based on the questions that you have asked, I have addressed those. And just to clarify, that the net worth for Philip Morris USA that we talked about is the net worth of the company at a point in time on a given date and that the net worth is a function of the assets of the company less its liabilities resulting in the net worth.",sno
question,Well ~,incomplete
answer,And the other thing that we talked about is that these numbers were prepared accurately and in accordance with generally accepted accounting principles.,sno
question,"All I am basically asking, Mr. Simmons, is there anything else that you would tell this jury about that subject? I started this off asking you for your opinions on that particular subject, which was disclosed to us.",bin-d
answer,"And what I can tell you is that I think I have addressed your questions regarding the net worth, but if there are other questions regarding financial concepts associated with Philip Morris USA's financial statements, I would be in a position to address those questions as well.",sno
question,"Well, no, sir, that's not the way we're going to play this. I want to hear from you what you would tell this jury, whatever it is, in connection with what was disclosed to us in the second paragraph concerning Philip Morris USA's net worth/shareholders' or, I'm sorry, stockholders' 0 equity.",wh-d
question,I'm sorry?,nu
answer,I have told you what I am prepared to testify about regarding the net worth and stockholders1 equity of Philip Morris USA.,sno
question,Are there any other concepts or anything else you would expect to explain to the jury?,bin
question,"Let's go on to the other paragraph of 0 your disclosure. And it says basically that you may talk about the appropriateness of the analysis 2 presented by Plaintiff's experts and rebut any opinions presented by Plaintiff's experts. 4 Let me see how much we can short-circuit 5 this, Mr. Simmons. I want you to assume that it was represented to me that insofar as Dr. Raffa's analysis is concerned, your testimony, your observations about that analysis would be the same as your testimony in the Whitney case, which you gave on March 7, 2013. That is assuming, of course, that Dr. Raffa's approach or methodology was the same. Was that an accurate representation?",bin-d
question,What are your observations about Dr. Raffa's report?,wh
answer,"My observations are that the numbers that he profiled in the calendar years 2009 through the first quarter of 2014 were directly taken from Altria's 10-K and 10-Q SEC filings. And, again, those numbers were prepared accurately in accordance with generally accepted accounting principles. What I noticed in Dr. Raffa's report is that he aggregated full calendar years in a quarter's worth of financial information, which in my experience I have never seen that done before, to aggregate annual data and quarterly data. And then to take that data and divide it by the number of days over that aggregate period of time, so analytically I have never seen numbers presented in that fashion. And it is not something that is a generally accepted accounting requirement or principle. I notice that there were references to both Philip Morris USA and Altria in Dr. Raffa's report. To the best of my knowledge Philip Morris USA's the defendant in this case. And then as it related to income, I noticed that there were references to operating income and net earnings, and if you were trying to get at net earnings, I am not really sure why the operating income is profiled.",sno
question,Is the operating income the same thing as pre-tax data?,bin
answer,"That is correct. It is pre-tax data and there is no references to the federal and state Laxes that are paid. It just goes from operating income to net earnings. And, and the net sales, the operating income, and the net earnings, there is an aggregation of annual data and quarterly data, and then divided'by the number of days over this five-year and one-quarter's period of time. So analytically I have never seen data presented that way. And so I am not really sure what the purpose is, but those would be my observations.",y-d
question,Any other observation about Dr. Raffa's work than what you have described?,qo
answer,No.,n
question,"Any criticisms, any other criticisms of Dr. Raffa's work and report?",bin
answer,No.,n
question,"Well, this probably took less time. I had the court reporter sent your testimony in the Whitney case, and I was just going to refer you to the page where you describe it, but I think you are very consistent using perhaps a different word here or there. Okay. Let's move on and see if we can get this wrapped up.",sno
question,"Let's get this wrapped up. Mr. Simmons, are you ready?",bin
answer,Yes.,y
question,"Mr. Simmons, you are familiar with the term ""punitive damages,"" are you not?",bin-d
answer,Yes.,y
